year,state_po,district,candidate,party,candidatevotes,WINNER
2018,TX,16,NA,NA,43,
2018,TX,17,Bill Flores,republican,134841,Bill Flores
2018,TX,17,Rick Kennedy,democrat,98070,
2018,TX,17,Peter Churchman,libertarian,4440,
2018,TX,18,Ava Reynero Pate,republican,38368,Sheila Jackson Lee
2018,TX,18,Sheila Jackson Lee,democrat,138704,
2018,TX,18,Luke Spencer,libertarian,4067,
2018,TX,18,Vince Duncan,independent,3193,
2018,TX,19,Jodey Arrington,republican,151946,Jodey Arrington
2018,TX,19,Miguel Levario,democrat,50039,
2018,TX,20,Joaquin Castro,democrat,139038,Joaquin Castro
2018,TX,20,Jeffrey Blunt,libertarian,32925,
2018,TX,21,Chip Roy,republican,177654,Chip Roy
2018,TX,21,Joseph Kopser,democrat,168421,
2018,TX,21,Lee Santos,libertarian,7542,
2018,TX,22,Pete Olson,republican,152750,Pete Olson
2018,TX,22,Sri Preston Kulkarni,democrat,138153,
2018,TX,22,John B. McElligott,libertarian,3261,
2018,TX,22,Kellen Sweny,independent,3241,
2018,TX,23,Will Hurd,republican,103285,Will Hurd
2018,TX,23,Gina Ortiz Jones,democrat,102359,
2018,TX,23,Ruben Corvalan,libertarian,4425,
2018,TX,24,Kenny E Marchant,republican,133317,Kenny E Marchant
2018,TX,24,Jan McDowell,democrat,125231,
2018,TX,24,Mike Kolls,libertarian,4870,
2018,TX,25,Roger Williams,republican,163023,Roger Williams
2018,TX,25,Julie Oliver,democrat,136385,
2018,TX,25,Desarae Lindsey,libertarian,5145,
2018,TX,26,Michael C. Burgess,republican,185551,Michael C. Burgess
2018,TX,26,Linsey Fagan,democrat,121938,
2018,TX,26,Mark Boler,libertarian,5016,
2018,TX,27,Michael Cloud,republican,125118,Michael Cloud
2018,TX,27,Eric Holguin,democrat,75929,
2018,TX,27,Daniel Tinus,libertarian,2100,
2018,TX,27,James Duerr,independent,4274,
2018,TX,28,Henry Cuellar,democrat,117494,Henry Cuellar
2018,TX,28,Arthur Thomas IV,libertarian,21732,
2018,TX,29,Phillip Aronoff,republican,28098,Sylvia R. Garcia
2018,TX,29,Sylvia R. Garcia,democrat,88188,
2018,TX,29,Cullen Burns,libertarian,1199,
2018,TX,29,NA,NA,9,
2018,TX,30,Eddie Bernice Johnson,democrat,166784,Eddie Bernice Johnson
2018,TX,30,Shawn Jones,libertarian,16390,
2018,TX,31,John Carter,republican,144680,John Carter
2018,TX,31,"Mary Jennings """"""""MJ"""""""" Hegar",democrat,136362,
2018,TX,31,Jason Hope,libertarian,4965,
2018,TX,32,Pete Sessions,republican,126101,Colin Allred
2018,TX,32,Colin Allred,democrat,144067,
2018,TX,32,Melina Baker,libertarian,5452,
2018,TX,33,Willie Billups,republican,26120,Marc Veasey
2018,TX,33,Marc Veasey,democrat,90805,
2018,TX,33,Jason Reeves,libertarian,2299,
2018,TX,34,Rey Gonzalez,republican,57243,Filemon B. Vela
2018,TX,34,Filemon B. Vela,democrat,85825,
2018,TX,35,David Smalling,republican,50553,Lloyd Doggett
2018,TX,35,Lloyd Doggett,democrat,138278,
2018,TX,35,Clark Patterson,libertarian,5236,
2018,TX,36,Brian Babin,republican,161048,Brian Babin
2018,TX,36,Dayna Steele,democrat,60908,
2018,UT,1,Lee Castillo,democrat,63308,Rob Bishop
2018,UT,1,Rob Bishop,republican,156692,
2018,UT,1,Eric Eliason,independent,29547,
2018,UT,1,Adam Davis,green,4786,
2018,UT,2,Chris Stewart,republican,151489,Chris Stewart
2018,UT,2,Jeffrey Whipple,libertarian,13504,
2018,UT,2,Shireen Ghorbani,democrat,105051,
2018,UT,3,John Curtis,republican,174856,John Curtis
2018,UT,3,James Courage Singer,democrat,70686,
2018,UT,3,Timothy L. Zeidner,united utah,6630,
2018,UT,3,Gregory C. Duerden,independent american,6686,
2018,UT,4,Mia B. Love,republican,134270,Ben McAdams
2018,UT,4,Ben McAdams,democrat,134964,
2018,UT,4,NA,NA,37,
2018,VT,0,Cris Ericson,independent,9110,
2018,VT,0,Laura S. Potter,liberty union,3924,
2018,VT,0,Anya Tynio,republican,70705,
2018,VT,0,Peter Welch,democrat,188547,
2018,VT,0,NA,NA,165,
2018,VA,1,"Robert J. """"Rob"""" Wittman",republican,183250,"Robert J. """"Rob"""" Wittman"
2018,VA,1,Vangie A. Williams,democrat,148464,
2018,VA,1,NA,NA,387,
2018,VA,2,Scott W. Taylor,republican,133458,Elaine G. Luria
2018,VA,2,Elaine G. Luria,democrat,139571,
2018,VA,2,NA,NA,371,
2018,VA,3,"Robert C. """"Bobby"""" Scott",democrat,198615,"Robert C. """"Bobby"""" Scott"
2018,VA,3,NA,NA,19107,
2018,VA,4,Ryan A. McAdams,republican,107706,A. Donald McEachin
2018,VA,4,A. Donald McEachin,democrat,187642,
2018,VA,4,"Peter J. """"Pete"""" Wells",libertarian,4233,
2018,VA,4,NA,NA,273,
2018,VA,5,"Denver L. Riggleman, III",republican,165339,"Denver L. Riggleman, III"
2018,VA,5,Leslie C. Cockburn,democrat,145040,
2018,VA,5,NA,NA,547,
2018,VA,6,Ben L. Cline,republican,167957,Ben L. Cline
2018,VA,6,Jennifer Lynn Lewis,democrat,113133,
2018,VA,6,NA,NA,287,
2018,VA,7,Dave A. Brat,republican,169295,Abigail A. Spanberger
2018,VA,7,Abigail A. Spanberger,democrat,176079,
2018,VA,7,Joseph B. Walton,libertarian,4216,
2018,VA,7,NA,NA,213,
2018,VA,8,Thomas S. Oh,republican,76899,"Donald S. Beyer, Jr."
2018,VA,8,"Donald S. Beyer, Jr.",democrat,247137,
2018,VA,8,NA,NA,712,
2018,VA,9,H. Morgan Griffith,republican,160933,H. Morgan Griffith
2018,VA,9,Anthony J. Flaccavento,democrat,85833,
2018,VA,9,NA,NA,214,
2018,VA,10,Barbara J. Comstock,republican,160841,Jennifer T. Wexton
2018,VA,10,Jennifer T. Wexton,democrat,206356,
2018,VA,10,NA,NA,598,
2018,VA,11,Jeff A. Dove Jr.,republican,83023,Gerald Edward Connolly
2018,VA,11,Gerald Edward Connolly,democrat,219191,
2018,VA,11,Stevan M. Porter,libertarian,5546,
2018,VA,11,NA,NA,490,
2018,WA,1,Suzan DelBene,democrat,197209,Suzan DelBene
2018,WA,1,Jeffrey Beeler,republican,135534,
2018,WA,2,Rick Larsen,democrat,210187,Rick Larsen
2018,WA,2,Brian Luke,libertarian,84646,
2018,WA,3,Jaime Herrera Beutler,republican,161819,Jaime Herrera Beutler
2018,WA,3,Carolyn Long,democrat,145407,
2018,WA,4,Dan Newhouse,republican,141551,Dan Newhouse
2018,WA,4,Christine Brown,democrat,83785,
2018,WA,5,Cathy McMorris Rodgers,republican,175422,Cathy McMorris Rodgers
2018,WA,5,Lisa Brown,democrat,144925,
2018,WA,6,Derek Kilmer,democrat,206409,Derek Kilmer
2018,WA,6,Douglas Dightman,republican,116677,
2018,WA,7,Pramila Jayapal,democrat,329800,Pramila Jayapal
2018,WA,7,Craig Keller,republican,64881,
2018,WA,8,Dino Rossi,republican,148968,Kim Schrier
2018,WA,8,Kim Schrier,democrat,164089,
2018,WA,9,Adam Smith,democrat,163345,Adam Smith
2018,WA,9,Sarah Smith,democrat,77222,
2018,WA,10,Denny Heck,democrat,166215,Denny Heck
2018,WA,10,Joseph Brumbles,republican,103860,
2018,WV,1,David B McKinley,republican,127997,David B McKinley
2018,WV,1,Kendra Fershee,democrat,70217,
2018,WV,2,Alex X. Mooney,republican,110504,Alex X. Mooney
2018,WV,2,Talley Sergent,democrat,88011,
2018,WV,2,"Daniel P. """"Danny"""" Lutz Jr.",mountain,6277,
2018,WV,3,Carol Miller,republican,98645,Carol Miller
2018,WV,3,Richard Ojeda II,democrat,76340,
2018,WI,1,Bryan Steil,republican,177492,Bryan Steil
2018,WI,1,Randy Bryce,democrat,137508,
2018,WI,1,Ken Yorgan,independent,10006,
2018,WI,1,NA,NA,311,
2018,WI,2,Mark Pocan,democrat,309116,Mark Pocan
2018,WI,2,NA,NA,8179,
2018,WI,3,Steve Toft,republican,126980,Ron Kind
2018,WI,3,Ron Kind,democrat,187888,
2018,WI,3,NA,NA,121,
2018,WI,4,Tim Rogers,republican,59091,Gwen S. Moore
2018,WI,4,Gwen S. Moore,democrat,206487,
2018,WI,4,Robert R. Raymond,independent,7170,
2018,WI,4,NA,NA,339,
2018,WI,5,"F. James Sensenbrenner, Jr.",republican,225619,"F. James Sensenbrenner, Jr."
2018,WI,5,Tom Palzewicz,democrat,138385,
2018,WI,5,NA,NA,284,
2018,WI,6,Glenn Grothman,republican,180311,Glenn Grothman
2018,WI,6,Dan Kohl,democrat,144536,
2018,WI,6,NA,NA,218,
2018,WI,7,Sean P. Duffy,republican,194061,Sean P. Duffy
2018,WI,7,Margaret Engebretson,democrat,124307,
2018,WI,7,Ken Driessen,independent,4416,
2018,WI,7,NA,NA,56,
2018,WI,8,Mike Gallagher,republican,209410,Mike Gallagher
2018,WI,8,Beau Liegeois,democrat,119265,
2018,WI,8,NA,NA,99,
2018,WY,0,Liz Cheney,republican,127963,
2018,WY,0,Greg Hunter,democrat,59903,
2018,WY,0,Richard Brubaker,libertarian,6918,
2018,WY,0,Daniel Clyde Cummings,constitution,6070,
2018,WY,0,NA,NA,391,
